scheme_slug,scheme_name,question,answer
sacipsctmrgiia,Subsidy for Asset Creation for Intellectual Property: Subsidy on the Cost of Trade Mark Registration,Is there a specific link to check eligibility under the scheme?,"Yes, applicants can check their eligibility at https://www.msmeonline.tn.gov.in/incentives/know_your_eligibility.php."
sadppfaa,Scheme Of Assistance To Disabled Persons For Purchase/Fitting Of Aids/Appliances,Q.1 What Is Scheme Of Assistance To Disabled Persons For Purchase/Fitting Of Aids/Appliances ADIP Scheme And How It Is Helping Empowering Divyangjan?,"Under the ADIP Scheme, assistive devices are given to PwDs with the aim to improve their independent functioning and arrest the extent of disability and occurrence of secondary disability. The scheme also envisages the conduct of corrective surgery whenever required before providing an assistive dev"
sadppfaa,Scheme Of Assistance To Disabled Persons For Purchase/Fitting Of Aids/Appliances,Q.3 What Are The Documents Required?,- Passport Size Photographs. | - A copy of the disability certificate. | - Address proof (copy of Aadhaar Card or/ Voter Id Card or/ Ration Card etc.) | - A copy of Income Certificate. | - An undertaking that he/she has not received the same aids & assistive devices from any source during the last t
saeaspjag,"Scheme of Awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Awardj","What is the main purpose of the “Scheme of awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Award”?","The main purpose of the “Scheme of awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Award” is to recognize and financially reward the sporting achievements of male sportspersons from Gujarat who have excelled at the state, national, or international levels in their respective disciplines."
saeaspjag,"Scheme of Awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Awardj","Who is eligible to apply under the “Scheme of awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Award”?","The scheme is applicable only to male individuals who are domiciled in Gujarat and who have demonstrated commendable performance and success in recognized sports events at various competitive levels including the state, national, or international level."
saec,State Art Exhibition Competition,What is the main purpose of the scheme “State Art Exhibition Competition”,"The scheme “State Art Exhibition Competition” has been introduced to inspire, promote, and provide recognition to artists, students of art institutions, and school children across Gujarat by encouraging participation in fine arts and offering awards and exhibition opportunities to deserving talents."
saec,State Art Exhibition Competition,Who is eligible to participate in the scheme “State Art Exhibition Competition”?,"The scheme “State Art Exhibition Competition” is open to three categories of participants: individual artists residing in Gujarat, students currently enrolled in recognized art institutions within the state, and school children studying in Classes 1 to 10 in schools located in Gujarat."
saemoe-pipdic,Scheme for Acquisition of Electro-Medical and Other Equipment (PIPDIC),How do I create an account and begin the registration process on the application portal?,"To create your account, visit the PIPDIC website at https://pipdic.in/, click ""Login"", and then select the ""New customer"" link. Enter a unique username, your email address, a secure password, and the Captcha code, then click ""Register"" to complete the registration process."
saemoe-pipdic,Scheme for Acquisition of Electro-Medical and Other Equipment (PIPDIC),What is the purpose of the One-Time Password verification during the login process?,"The OTP is a security measure sent to your registered email address to verify your identity and ensure that only authorized users can access your account. You must enter this OTP and click ""Login"" to proceed to your customer dashboard."
saepaep,Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Manag,"What is the ""Scheme for Assistance for Environment Protection Measures""?","The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025."
saepaep,Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Manag,"What is the purpose of the ""Scheme of Assistance for Environment Protection Measures"" component?","The ""Scheme of Assistance for Environment Protection Measures"" component aims to promote sustainable industrial growth by supporting industries in adopting eco-friendly practices and complying with environmental norms."
saepegp,Scheme of Assistance for Environment Protection Measures: Scheme for assistance to encouraging Green,"What is the ""Scheme for Assistance for Environment Protection Measures""?","The ""Scheme of Assistance for Environment Protection Measures"" under the Gujarat Industrial Policy promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms, effective from August 7th, 2020 to August 6th, 2025."
saepegp,Scheme of Assistance for Environment Protection Measures: Scheme for assistance to encouraging Green,"What is the purpose of the ""Scheme for Assistance to Encourage Green Practices and Environmental Audit for MSMEs"" component?","The ""Scheme for Assistance to Encourage Green Practices and Environmental Audit for MSMEs"" component aims to encourage MSMEs to adopt green practices, improve environmental compliance, and implement eco-friendly measures."
saesc,State Art Exhibition (Student Category),What is the main objective of the State Art Exhibition (Student Category)?,The objective is to promote and encourage local students in the field of visual arts by providing a platform to showcase their work.
saesc,State Art Exhibition (Student Category),Who can participate in this exhibition?,Only students from recognized Fine Art Colleges or Institutions based in Goa are eligible to participate.
safaew-bcew,Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers ,Can I Apply Offline For The Scholarship?,No. You need to visit https://scholarships.gov.in/ to apply.
safaew-bcew,Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers ,Is There Any Application Fee?,No. The entire application process is completely free of cost.
safpofn,Intensive Fisheries Development Programme - Subsidy on Purchase of Fishing Nets (Scheduled Caste),What is the maximum subsidy amount offered?,"₹24,000 on a fishing net purchase worth ₹40,000."
safpofn,Intensive Fisheries Development Programme - Subsidy on Purchase of Fishing Nets (Scheduled Caste),Who is eligible to apply for this scheme?,SC category residents of Haryana aged 18 years or above.
safupgs,Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students,"What is the objective of the ""Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students""?","The ""Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students"" is a state government scholarship program that provides monthly financial assistance to qualified undergraduate, postgraduate, and Ph.D. students at Anand Agricultural University."
safupgs,Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students,Who is eligible to apply for this scheme?,"Any full-time undergraduate, postgraduate, or Ph.D. student currently enrolled at Anand Agricultural University is eligible to apply."
